label,title,index,depth
2,Analysis of infections in the first 3-month after living donor liver transplantation.,101,2
2,"Epidemiology of visceral mycoses in autopsy cases in Japan: comparison of the data from 1989, 1993, 1997, 2001, 2005 and 2007 in Annual of Pathological Autopsy Cases in Japan.",102,2
2,Role of extracellular polymeric substances in polymicrobial biofilm infections of Staphylococcus epidermidis and Candida albicans modelled in the nematode Caenorhabditis elegans.,103,2
2,[Invasive mycoses and trauma].,104,3
2,Added value of multi-pathogen probe-based real-time PCR SeptiFast in the rapid diagnosis of bloodstream infections in patients with bacteraemia.,105,3
2,Fungal Infections in Boston Keratoprosthesis Patients: Lessons Learned and Novel Developments on the Horizon.,106,3
2,Microbiologically documented infections in patients undergoing high-dose melphalan and autologous stem cell transplantation for the treatment of light chain amyloidosis.,107,1
2,Executive summary: Prevention and treatment of opportunistic infections and other coinfections in HIV-infected patients: May 2015.,108,3
2,Skull-base osteomyelitis: fungal vs. bacterial infection.,109,1
2,Increased Mortality Among Renal Transplant Patients With Invasive Pulmonary Aspergillus Infection.,110,4
2,Duplex DNA-Invading ??-Modified Peptide Nucleic Acids Enable Rapid Identification of Bloodstream Infections in Whole Blood.,111,2
2,[Microorganisms responsible of nosocomial infections in the Mexican Social Security Institute].,112,1
2,Infections occurring during extracorporeal membrane oxygenation use in adult patients.,113,2
2,A comprehensive review of the diagnosis and management of prosthetic joint infections in the absence of positive cultures.,114,3
2,Role of fine needle aspiration biopsy cytology in the diagnosis of infections.,115,2
2,Prevention and treatment of opportunistic infections and other coinfections in HIV-infected patients: May 2015.,116,3
2,Factors associated with specific uropathogens in catheter-associated urinary tract infection: developing a clinical prediction model.,117,3
2,Safety and Efficacy of Infliximab Therapy in the Setting of Steroid-Refractory Acute Graft-versus-Host Disease.,118,1
2,[Microbial spectrum in surgical infections based on a microbiological routine monitoring over the 10-year period from 1995 to 2004].,119,1
2,Postoperative bacterial/fungal infections: a challenging problem in critically ill patients after abdominal surgery.,120,1
2,Increased presepsin levels are associated with the severity of fungal bloodstream infections.,121,2
2,Very late onset infections in the neonatal intensive care unit.,122,2
2,Detrimental Association of Hypogammaglobulinemia With Chronic Lung Allograft Dysfunction and Death Is Not Mitigated by On-Demand Immunoglobulin G Replacement After Lung Transplantation.,123,1
2,Risk factors and outcomes of fungal ventricular-assist device infections.,124,2
2,"Spontaneous fungal peritonitis: Epidemiology, current evidence and future prospective.",125,2
2,Endemic infections in Southeast Asia provide new insights to the phenotypic spectrum of primary immunodeficiency disorders.,126,3
2,"Postoperative infections after cytoreductive surgery and HIPEC for peritoneal carcinomatosis: proposal and results from a prospective protocol study of prevention, surveillance and treatment.",127,3
2,Human rhinovirus infections of the lower respiratory tract in hematopoietic stem cell transplant recipients.,128,2
2,Bacterial and fungal biofilm infections.,129,1
2,Late-onset bloodstream infections in hospitalized term infants.,130,3
2,[Risk factors of invasive fungal infections in patients admitted to non- hematological oncology department and pediatric intensive care unit].,131,3
2,Confirmed Transmission of Bacterial or Fungal Infection to Kidney Transplant Recipients from Donated After Cardiac Death (DCD) Donors in China: A Single-Center Analysis.,132,1
2,Liposomal vaccine formulations as prophylactic agents: design considerations for modern vaccines.,133,1
2,Epidemiology and outcome of infections in human immunodeficiency virus/hepatitis C virus-coinfected liver transplant recipients: a FIPSE/GESIDA prospective cohort study.,134,3
2,Identification of causative organism in cardiac implantable electronic device infections.,135,1
2,Infections in liver transplant recipients.,136,2
2,Risk factors for the development of intra-abdominal fungal infections in acute pancreatitis.,137,2
2,How to treat severe infections in critically ill neutropenic patients?,138,2
2,The microbiology of secondary and postoperative pancreatic infections: implications for antimicrobial management.,139,2
2,Predictors of Monomicrobial Necrotizing Soft Tissue Infections.,140,3
2,"Prevention, detection, and management of early bacterial and fungal infections in a preclinical cardiac xenotransplantation model that achieves prolonged survival.",141,1
2,The contribution of mast cells to bacterial and fungal infection immunity.,142,1
2,Recent Advances in the Synthesis of Glycoconjugates for Vaccine Development.,143,1
2,Survey of fungi and yeast in polymicrobial infections in chronic wounds.,144,2
2,"Update on clindamycin in the management of bacterial, fungal and protozoal infections.",145,1
2,Non-viral infections in children after renal transplantation.,146,2
2,Spectrum of external catheter-related infections in children with acute leukemia-Single-center experience.,147,3
2,Targeted treatment of invasive fungal infections accelerates healing of foot wounds in patients with Type 2 diabetes.,148,3
2,Nonbacterial Causes of Lymphangitis with Streaking.,149,2
2,Polymicrobial infections involving clinically relevant Gram-negative bacteria and fungi.,150,1
2,Toxic epidermal necrolysis data from the CELESTE multinational registry. Part I: Epidemiology and general microbiological characteristics.,151,1
2,Tuberculous and Infectious Pericarditis.,152,1
2,Which tree orders in southern Africa have the highest antimicrobial activity and selectivity against bacterial and fungal pathogens of animals?,153,1
2,Functional Interaction between Apolipophorins and Complement Regulate the Mosquito Immune Response to Systemic Infections.,154,2
2,Infections of the Central Nervous System after Unrelated Donor Umbilical Cord Blood Transplantation or Human Leukocyte Antigen-Matched Sibling Transplantation.,155,2
2,Fungal infections in severe acute pancreatitis.,156,2
2,Patterns of infectious complications in acute myeloid leukemia and myelodysplastic syndromes patients treated with 10-day decitabine regimen.,157,2
2,Fungal infections after liver transplantation: incidence and outcome.,158,2
2,Cumulative arsenic exposure is associated with fungal infections: Two cohort studies based on southwestern and northeastern basins in Taiwan.,159,2
2,"Characteristics, Clinical Relevance, and the Role of Echinocandins in Fungal-Bacterial Interactions.",160,1
2,Spine infections.,161,4
2,The role of water in healthcare-associated infections.,162,2
2,HIV acquisition during pregnancy and postpartum is associated with genital infections and partnership characteristics.,163,4
2,Urinary tract infections in the early posttransplant period after kidney transplantation: etiologic agents and their susceptibility.,164,3
2,Rapid real-time nucleic Acid sequence-based amplification-molecular beacon platform to detect fungal and bacterial bloodstream infections.,165,1
2,Infections in the tissue material and their impact on the loss of transplants in the Laboratory of in vitro Cell and Tissue Culture with Tissue Bank in the years 2011-2015.,166,2
2,"A Treatment Protocol for Management of Bacterial and Fungal Malignant External Otitis: A Large Cohort in Tehran, Iran.",167,4
2,Long-term immune reconstitution and infection burden after mismatched hematopoietic stem cell transplantation.,168,2
2,2-stage revision recommended for treatment of fungal hip and knee prosthetic joint infections.,169,3
